INPUT:context	INPUT:sentence
Насте очень хорошо дается физика. В проверочной работе по физике было три задачи. Первая была самой легкой, последняя – самой сложной. Настя решила все задачи, но кроме неё никто не смог ничего решить.	Даже первую задачу решила только Настя.
Даше 17 лет, она увлекается астрономией. Ване – 10 лет, он ещё ничего не знает об астрономии. Ребята ищут созвездия на небе. Даша нашла уже множество созвездий. В том числе она нашла созвездие Цефея, которое не так просто увидеть. А Ваня пока нашел Большую Медведицу.	Даже созвездие Цефея нашла только Даша.
Федя, Ксюша и Кирилл приехали к бабушке в деревню. Они пошли гладить животных - козу, лошадь и корову, но животные напугались и не подпускали ребят к себе. Федя лучше всех умеет обращаться с животными. Ему удалось погладить козу, но лошадь и корова не дали Феде себя погладить.	Только козу погладил даже Федя.
Сережа, Женя и Илья ходили в свою старую школу. Они встретили там свою бывшую классную руководительницу, учителя физики и библиотекаря. Классная руководительница помнила всех ребят, учитель физики вспомнил Сережу и Илью. Сережа оказался единственным, кого вспомнили все, в том числе библиотекарь.	Только Серёжу узнала Даже библиотекарь.
Насте очень хорошо дается физика. В проверочной работе по физике было три задачи. Первая была самой легкой, последняя – самой сложной. Кроме Насти, никто не смог решить последнюю задачу.	Даже последнюю задачу решила только Настя.
Даше 17 лет, она увлекается астрономией. Ване – 10 лет, он ещё ничего не знает об астрономии. Ребята ищут созвездия на небе. Они оба нашли Большую Медвдицу, но больше у них ничего не получается увидеть.	Только Большую Медведицу нашла даже Даша.
Федя, Ксюша и Кирилл приехали к бабушке в деревню и пошли гладить животных - козу, лошадь и корову. Коза была единственной, кого погладили все, в том числе её маленький пятилетний Кирилл (он побоялся идти к корове и лошади).	Только козу погладил даже Кирилл.
Сережа, Женя и Илья ходили в свою старую школу. Они встретили там свою бывшую классную руководительницу, учителя физики и библиотекаря. Классная руководительница вспомнила всех. Но учитель физики и библиотекарь не вспомнили никого из ребят, в том числе Сережу, который больше активно участвовал в жизни школы.	Даже Серёжу узнала только классная руководительница.
Оля, Полина и Вика учатся в одном классе. У Оли и Полины сегодня день рождения. С Полиной почти никто не общается, а у Оли очень много друзей в классе. Но сегодня никто не вспомнил ни про Олин, ни про Полинин день рождения. Вика была единственной, кто поздравил девочек.	Даже Олю поздравила только Вика.
На сегодняшний урок геометрии всех попросили принести линейку и циркуль. Катя была единственной, кому показалось, что этих предметов будет недостаточно. Она была единственной, кто додумался взять еще и транспортир.	Даже транспортир принесла только Катя.
Миша и Олеся пришли обедать. На обед были салат, суп и рис. Олеся обычно ест мало, а Миша очень любит поесть. Но сегодня на обеде у обоих не было аппетита. Кроме салата они ничего не съели.	Только салат съел даже Миша.
Олегу на лето задали прочитать «Капитанскую дочку», «Мастера и Маргариту» и «Войну и мир». Олег не любит читать. Он прочитал «Капитанскую дочку», а остальное читать не стал. «Капитанская дочка» оказалась единственным произведением, которое прочитали все, в том числе Олег.	Только «Капитанскую дочку» прочитал даже Олег.
Оля, Полина и Вика учатся в одном классе. У Оли и Полины сегодня день рождения. Полина ходит в школу регулярно, а Оля часто болеет и из-за этого пропускает много уроков. Полину сегодня поздравляли многие одноклассники, но Вика оказалась единственной, кто поздравил не только Полину, но и Олю.	Даже Олю поздравила только Вика.
На сегодняшний урок геометрии в школе всем сказали принести линейку, транспортир и циркуль. Катя - очень внимательная девочка, обычно она ничего не забывает. Но сегодня она, как и большинство её одноклассников, забыла принести транспортир и циркуль.	Только линейку принесла даже Катя.
Миша и Олеся пришли обедать. На обед были салат, суп и рис. Олеся питается без ограничений, она всё съела. А Миша сейчас питается только овощами. Кроме салата, он ничего не съел.	Только салат съел даже Миша.
Олег любит читать. На лето в школе его классу задали прочитать «Капитанскую дочку», «Мастера и Маргариту» и «Войну и мир». Кроме Олега, никто не прочитал ни одно из этих произведений.	Даже «Капитанскую дочку» прочитал только Олег.
